21.224,8.034,9.023,-5.0
20.121,8.171,8.825,-5.0
19.032,8.365,8.606,-5.0
17.956,24.672,8.366,12.999999999999998
17.224,40.532,8.988,0
16.224,24.047,9.056,12.999999999999998
15.562,37.922,9.969,0
14.562,37.769,10.165,0
13.562,21.83,10.36,20.0
13.191,34.606,12.435,19.999999999999996
12.95,32.301,13.423,19.999999999999996
12.845,30.524,12.11,19.999999999999996
12.895,29.162,11.038,19.999999999999996
13.137,28.146,10.158,19.999999999999996
13.633,27.43,9.437,20.0
14.496,23.92,8.856,20.0
15.943,15.63,8.401,15.489510489510486
27.908,13.379,8.01,11.646706586826346
26.145,12.566,7.66,11.646706586826346
24.562,11.93,7.372,11.646706586826346
23.133,11.402,7.151,9.510489510489508
21.879,11.099,6.973,9.510489510489508
20.705,10.803,6.857,9.510489510489508
19.603,10.511,6.808,9.510489510489508
18.563,10.22,6.838,5.0
17.562,10.075,6.88,5.0
16.575,9.911,22.674,-12.999999999999998
15.605,10.299,23.019,-12.999999999999998
14.718,10.964,23.568,-12.999999999999996
13.904,11.999,24.389,-20.0
13.347,14.348,27.575,-19.999999999999996
12.957,12.669,33.102,-19.999999999999996
12.75,11.33,34.18,-19.999999999999996
12.753,10.261,33.058,-19.999999999999996
13.023,9.418,32.255,-19.999999999999996
13.661,8.773,31.741,-20.0
14.853,8.311,18.915,-12.999999999999996
15.724,7.912,15.87,-19.999999999999996
18.785,7.744,12.608,-11.646706586826346
21.345,7.57,11.713,-9.510489510489508
24.413,7.436,11.194,-9.510489510489508
26.481,7.378,10.703,-5.0
25.268,7.267,10.617,-5.0
24.081,7.192,10.499,-5.0
22.917,7.157,10.352,-5.0
21.774,7.164,10.178,-5.0
20.65,7.215,9.981,-5.0
19.542,7.314,9.763,-5.0
18.449,7.466,9.524,-5.0
17.37,7.675,9.267,-5.0
16.301,7.947,8.993,-5.0
